Time,Function,Symbol,Error
2024-01-24 15:19:39,create_stock_data_db,CBIO,'NoneType' object is not subscriptable
2024-01-24 15:20:08,create_stock_data_db,PRPC,'NoneType' object is not subscriptable
2024-01-24 15:20:32,create_stock_data_db,CELUW,'NoneType' object is not subscriptable
2024-01-24 15:20:34,create_stock_data_db - Update data_stock,CX,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-24 15:20:36,create_stock_data_db,CETXP,'NoneType' object is not subscriptable
2024-01-24 15:21:14,create_stock_data_db,CETU,'NoneType' object is not subscriptable
2024-01-24 15:21:18,create_stock_data_db,CFIVU,'NoneType' object is not subscriptable
2024-01-24 15:21:29,create_stock_data_db,CBRGU,'NoneType' object is not subscriptable
2024-01-24 15:21:45,create_stock_data_db,CCF,'NoneType' object is not subscriptable
2024-01-24 15:21:48,create_stock_data_db,CLAY,'Growth'
2024-01-24 15:21:48,create_stock_data_db,CLAYU,'NoneType' object is not subscriptable
2024-01-24 15:22:16,create_stock_data_db,REFI,'Growth'
2024-01-24 15:22:19,create_stock_data_db,CSSEP,'NoneType' object is not subscriptable
2024-01-24 15:22:48,create_stock_data_db,CHSCL,'NoneType' object is not subscriptable
2024-01-24 15:22:49,create_stock_data_db,CHSCM,'NoneType' object is not subscriptable
2024-01-24 15:22:49,create_stock_data_db,CHSCN,'NoneType' object is not subscriptable
2024-01-24 15:22:50,create_stock_data_db,CHSCP,'NoneType' object is not subscriptable
2024-01-24 15:22:50,create_stock_data_db,CHSCO,'NoneType' object is not subscriptable
2024-01-24 15:22:54,create_stock_data_db,CCV,'NoneType' object is not subscriptable
2024-01-24 15:23:20,create_stock_data_db,CIFR,'Growth'
2024-01-24 15:23:21,create_stock_data_db,CIR,'NoneType' object is not subscriptable
2024-01-24 15:23:56,create_stock_data_db,CLIN,'Growth'
2024-01-24 15:23:57,create_stock_data_db,CLINR,'NoneType' object is not subscriptable
2024-01-24 15:24:16,create_stock_data_db,CWAN,'NoneType' object is not subscriptable
2024-01-24 15:24:28,create_stock_data_db,CLVRW,'NoneType' object is not subscriptable
2024-01-24 15:24:28,create_stock_data_db,CLRCU,'NoneType' object is not subscriptable
2024-01-24 15:24:42,create_stock_data_db,CLOE,'Growth'
2024-01-24 15:24:43,create_stock_data_db,CLOER,'NoneType' object is not subscriptable
2024-01-24 15:24:56,create_stock_data_db,CCNEP,'NoneType' object is not subscriptable
